url_hash,room_count,house_floors,apt_floor,price,sqm,sqm_price,apt_address,listed_date,removed_date,days_listed,view_count
dnnnp,3,5,4,80000,68,1176,Parka 8,2021.09.04,2021.10.02,27,
cecek,2,5,5,65000,52,1250,Lapu iela 11,2021.09.05,2021.10.03,27,
gjmpf,2,5,5,59000,55,1073,Malkalnes 7,2021.08.22,2021.10.03,41,
aaoxg,4,6,5,118000,91,1297,Zaķu 1,2021.08.24,2021.10.05,41,
idbkd,3,3,3,73000,62,1177,Brīvības 113,2021.09.28,2021.10.06,7,
aaoxj,2,5,4,52000,43,1209,Mālkalnes prospekts 29,2021.09.09,2021.10.07,27,
adkck,1,9,7,37700,40,943,Tīnūžu ielā 7,2021.08.05,2021.10.07,62,
gdcib,2,5,5,35000,45,778,Mālkalnes prospekts 24,2021.09.13,2021.10.10,26,
hxodj,1,5,3,25000,25,1000,Mālkalnes pr 11,2021.08.29,2021.10.10,41,
adggo,1,4,3,29000,29,1000,Grīvas iela 6,2021.09.06,2021.10.11,34,
bifni,4,6,3,123700,92,1345,Draudzības iela 6a,2021.09.16,2021.10.11,24,
dicjf,1,6,1,61800,46,1349,Draudzības iela 6a,2021.09.16,2021.10.11,24,
ecxbi,2,5,3,63000,46,1379,Draudzības iela 6a,2021.09.16,2021.10.11,24,
dighl,2,5,5,68000,50,1360,Lapu 4,2021.08.31,2021.10.12,41,
gcxjd,4,5,5,79000,107,738,Akmeņu iela 50b,2021.09.03,2021.10.12,38,
cxieg,3,9,5,60000,64,938,Zilokalnu prospekts 20,2021.09.21,2021.10.18,21,
gcjdh,2,5,4,33000,41,805,Skolas iela 5,2021.09.15,2021.10.18,27,
bilgl,2,3,2,68000,62,1097,Brīvības 115,2021.09.07,2021.10.19,41,
cgecj,2,5,5,69000,54,1278,Draudzibas iela 10 14,2021.09.19,2021.10.19,29,
cihxe,2,3,2,49000,44,1114,Celtnieku 6,2021.09.07,2021.10.19,41,
dpldg,3,9,4,80000,61,1311,Ausekļa prospekts 4,2021.09.05,2021.10.19,43,
gcghm,1,3,2,26000,31,839,Grīvas pr. 23,2021.10.05,2021.10.19,13,
boknh,2,5,3,32500,50,650,Skolas 16,2021.10.19,2021.10.21,1,
cxcxp,2,9,7,35000,49,714,Zilokalnu prospekts 24,2021.09.17,2021.10.22,34,
gcjdh,2,5,4,31500,41,768,Skolas iela 5,2021.10.20,2021.10.23,2,
affhp,3,9,6,80000,62,1290,Meža prospekts 11,2021.09.12,2021.10.24,41,
